source,evidence_item,status,evidence_class,source_file,value,claim_boundary,raw_excerpt
integrated_v14_with_slice10d,MIPYME repayment-stress channel,SUPPORTED,,,,"Morosity supports credit-quality stress context, not direct operating-margin proof.","MIPYME repayment-stress channel | SUPPORTED | Morosity supports credit-quality stress context, not direct operating-margin proof. | integrated_v12_with_slice8c | MIPYME repayment-stress channel | SUPPORTED | Morosity supports credit-quality stress context, not direct operating-margin proof. | integrated_v11_with_slice7e | MIPYME repayment-stress channel | SUPPORTED | Morosity supports credit-quality stress context, not direct operating-margin proof. | integrated_v10_with_slice6b | MIPYME repayment-stress channel | SUPPORTED | Morosity supports credit-quality stress context, not direct operating-margin proof. | integrated_v9_with_slice6a | MIPYME repayment-stress channel | SUPPORTED | Morosit"
integrated_v14_with_slice10d,MIPYME financing-risk channel,SUPPORTED,,,,"FX exposure is risk context, not realized business losses.","MIPYME financing-risk channel | SUPPORTED | FX exposure is risk context, not realized business losses. | integrated_v12_with_slice8c | MIPYME financing-risk channel | SUPPORTED | FX exposure is risk context, not realized business losses. | integrated_v11_with_slice7e | MIPYME financing-risk channel | SUPPORTED | FX exposure is risk context, not realized business losses. | integrated_v10_with_slice6b | MIPYME financing-risk channel | SUPPORTED | FX exposure is risk context, not realized business losses. | integrated_v9_with_slice6a | MIPYME financing-risk channel | SUPPORTED | FX exposure is risk context, not realized business losses. | v6_with_slice4b | pre_slice5a | SUPPORTED | FX exposure "
integrated_v14_with_slice10d,Electricity-cost movement,NOT_PROVEN,,,,Do not claim electricity cost increase/decrease from decimal-inferred OCR rows.,Electricity-cost movement | NOT_PROVEN | Do not claim electricity cost increase/decrease from decimal-inferred OCR rows. | integrated_v12_with_slice8c | Electricity-cost movement | NOT_PROVEN | Do not claim electricity cost increase/decrease from decimal-inferred OCR rows. | integrated_v11_with_slice7e | Electricity-cost movement | NOT_PROVEN | Do not claim electricity cost increase/decrease from decimal-inferred OCR rows. | integrated_v10_with_slice6b | Electricity-cost movement | NOT_PROVEN | Do not claim electricity cost increase/decrease from decimal-inferred OCR rows. | integrated_v9_with_slice6a | Electricity-cost movement | NOT_PROVEN | Do not claim electricity cost increase/decrease 
integrated_v14_with_slice10d,Direct small-business margin pressure,NOT_PROVEN,,,,"Use channel language: financing cost, repayment stress, and risk exposure; not direct margin squeeze.","Direct small-business margin pressure | NOT_PROVEN | Use channel language: financing cost, repayment stress, and risk exposure; not direct margin squeeze. | integrated_v12_with_slice8c | Direct small-business margin pressure | NOT_PROVEN | Use channel language: financing cost, repayment stress, and risk exposure; not direct margin squeeze. | integrated_v11_with_slice7e | Direct small-business margin pressure | NOT_PROVEN | Use channel language: financing cost, repayment stress, and risk exposure; not direct margin squeeze. | integrated_v10_with_slice6b | Direct small-business margin pressure | NOT_PROVEN | Use channel language: financing cost, repayment stress, and risk exposure; not direct "
integrated_v14_with_slice10d,Slice 4B current answer,SUPPORTED,,,,"Compatible with selective squeeze, but not a standalone proof of ordinary-business margin collapse.","Slice 4B current answer | SUPPORTED | Compatible with selective squeeze, but not a standalone proof of ordinary-business margin collapse. | integrated_v12_with_slice8c | Slice 4B current answer | SUPPORTED | Compatible with selective squeeze, but not a standalone proof of ordinary-business margin collapse. | integrated_v11_with_slice7e | Slice 4B current answer | SUPPORTED | Compatible with selective squeeze, but not a standalone proof of ordinary-business margin collapse. | integrated_v10_with_slice6b | Slice 4B current answer | SUPPORTED | Compatible with selective squeeze, but not a standalone proof of ordinary-business margin collapse. | integrated_v9_with_slice6a | Slice 4B current answ"
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_23,LOCKED_MACRO_CONTEXT,macro_real_consumption_demand_context,,,Macro consumption/demand context only; does not prove household trade-down or quantity cuts.,integrated_v9_with_slice6a_row_23 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_23 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_23 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_r
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_24,LOCKED_MACRO_CONTEXT,macro_real_consumption_demand_context,,,Macro consumption/demand context only; does not prove household trade-down or quantity cuts.,integrated_v9_with_slice6a_row_24 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_24 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_24 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_r
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_25,LOCKED_MACRO_CONTEXT,macro_real_consumption_demand_context,,,Macro consumption/demand context only; does not prove household trade-down or quantity cuts.,integrated_v9_with_slice6a_row_25 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_25 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_25 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_r
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_26,LOCKED_MACRO_CONTEXT,macro_real_consumption_demand_context,,,Macro consumption/demand context only; does not prove household trade-down or quantity cuts.,integrated_v9_with_slice6a_row_26 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_26 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_26 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_r
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_27,LOCKED_MACRO_CONTEXT,macro_real_consumption_demand_context,,,Macro consumption/demand context only; does not prove household trade-down or quantity cuts.,integrated_v9_with_slice6a_row_27 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_27 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_27 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_r
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_28,LOCKED_MACRO_CONTEXT,macro_real_consumption_demand_context,,,Macro consumption/demand context only; does not prove household trade-down or quantity cuts.,integrated_v9_with_slice6a_row_28 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_28 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_28 | LOCKED_MACRO_CONTEXT | macro_real_consumption_demand_context | Macro consumption/demand context only; does not prove household trade-down or quantity cuts. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_r
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_29,PASS,historical_household_microdata_structure,,,ENIGH 2007 is historical household food structure only; stale for 2026 behavior.,integrated_v9_with_slice6a_row_29 | PASS | historical_household_microdata_structure | ENIGH 2007 is historical household food structure only; stale for 2026 behavior. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_29 | PASS | historical_household_microdata_structure | ENIGH 2007 is historical household food structure only; stale for 2026 behavior. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_29 | PASS | historical_household_microdata_structure | ENIGH 2007 is historical household food structure only; stale for 2026 behavior. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_29 | PASS | historical_household_microdata_structure | ENIGH 2007 is his
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_30,PASS,historical_household_microdata_structure,,,ENIGH 2007 is historical household food structure only; stale for 2026 behavior.,integrated_v9_with_slice6a_row_30 | PASS | historical_household_microdata_structure | ENIGH 2007 is historical household food structure only; stale for 2026 behavior. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_30 | PASS | historical_household_microdata_structure | ENIGH 2007 is historical household food structure only; stale for 2026 behavior. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_30 | PASS | historical_household_microdata_structure | ENIGH 2007 is historical household food structure only; stale for 2026 behavior. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_30 | PASS | historical_household_microdata_structure | ENIGH 2007 is his
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_31,SUPPORTED_BUT_STALE,historical_structure_metric,,,Shows analyzable historical structure; does not estimate current trade-down.,integrated_v9_with_slice6a_row_31 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows analyzable historical structure; does not estimate current trade-down. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_31 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows analyzable historical structure; does not estimate current trade-down. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_31 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows analyzable historical structure; does not estimate current trade-down. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_31 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows analyzable hist
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_32,SUPPORTED_BUT_STALE,historical_structure_metric,,,Shows historical quantity-question structure; current 2026 behavior not proven.,integrated_v9_with_slice6a_row_32 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows historical quantity-question structure; current 2026 behavior not proven. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_32 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows historical quantity-question structure; current 2026 behavior not proven. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_32 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows historical quantity-question structure; current 2026 behavior not proven. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_32 | SUPPORTED_BUT_STALE | historical_structure_metric | Shows histor
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_33,PASS,source_readiness_audit,,,Readiness is not proof; it only authorizes parsing/synthesis.,integrated_v9_with_slice6a_row_33 | PASS | source_readiness_audit | Readiness is not proof; it only authorizes parsing/synthesis. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_33 | PASS | source_readiness_audit | Readiness is not proof; it only authorizes parsing/synthesis. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_33 | PASS | source_readiness_audit | Readiness is not proof; it only authorizes parsing/synthesis. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_33 | PASS | source_readiness_audit | Readiness is not proof; it only authorizes parsing/synthesis. | integrated_v9_with_slice6a | integrated_v9_with_slice6a_row_33 | PASS | source_rea
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_34,LOCKED_NEGATIVE,negative_local_target_review,,,Local target review is not substantive evidence; it only controls parser eligibility.,integrated_v9_with_slice6a_row_34 | LOCKED_NEGATIVE | negative_local_target_review | Local target review is not substantive evidence; it only controls parser eligibility. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_34 | LOCKED_NEGATIVE | negative_local_target_review | Local target review is not substantive evidence; it only controls parser eligibility. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_34 | LOCKED_NEGATIVE | negative_local_target_review | Local target review is not substantive evidence; it only controls parser eligibility. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_34 | LOCKED_NEGATIVE | negative_local_target_review | Local 
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_35,SUPPORTED_FOR_TARGET_REVIEW_ONLY,official_candidate_discovery,,,"Candidate links require acquisition, schema audit, and reconciliation.","integrated_v9_with_slice6a_row_35 | SUPPORTED_FOR_TARGET_REVIEW_ONLY | official_candidate_discovery | Candidate links require acquisition, schema audit, and reconciliation. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_35 | SUPPORTED_FOR_TARGET_REVIEW_ONLY | official_candidate_discovery | Candidate links require acquisition, schema audit, and reconciliation. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_35 | SUPPORTED_FOR_TARGET_REVIEW_ONLY | official_candidate_discovery | Candidate links require acquisition, schema audit, and reconciliation. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_35 | SUPPORTED_FOR_TARGET_REVIEW_ONLY | official_candi"
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_36,ACQUIRED_AND_AUDITED,official_file_acquisition_and_schema_audit,,,Acquisition/schema audit does not prove behavior.,integrated_v9_with_slice6a_row_36 | ACQUIRED_AND_AUDITED | official_file_acquisition_and_schema_audit | Acquisition/schema audit does not prove behavior. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_36 | ACQUIRED_AND_AUDITED | official_file_acquisition_and_schema_audit | Acquisition/schema audit does not prove behavior. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_36 | ACQUIRED_AND_AUDITED | official_file_acquisition_and_schema_audit | Acquisition/schema audit does not prove behavior. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_36 | ACQUIRED_AND_AUDITED | official_file_acquisition_and_schema_audit | Acquisition/schema audit does not prov
integrated_v14_with_slice10d,integrated_v9_with_slice6a_row_37,LOCKED_CONTEXT_ONLY,negative_csv_schema,,,Profile context fields cannot prove household trade-down.,integrated_v9_with_slice6a_row_37 | LOCKED_CONTEXT_ONLY | negative_csv_schema | Profile context fields cannot prove household trade-down. | integrated_v12_with_slice8c | integrated_v9_with_slice6a_row_37 | LOCKED_CONTEXT_ONLY | negative_csv_schema | Profile context fields cannot prove household trade-down. | integrated_v11_with_slice7e | integrated_v9_with_slice6a_row_37 | LOCKED_CONTEXT_ONLY | negative_csv_schema | Profile context fields cannot prove household trade-down. | integrated_v10_with_slice6b | integrated_v9_with_slice6a_row_37 | LOCKED_CONTEXT_ONLY | negative_csv_schema | Profile context fields cannot prove household trade-down. | integrated_v9_with_slice6a | integrated_v9_with_sl
